n,fr,t,min,max,eps,epss,alpha,lmax,nt,k,c90,c80,c70,c60,c50,c40,c30,c20,c10,c00
10,0.5,10000,10,15,0.1,0.1,100,3,0,100,0,0,0,0,0,0,0.1,0.26,0.39,0.74
10,0.5,10000,10,15,0.2,0.1,100,3,0,100,0,0,0,0,0,0,0.1,0.26,0.39,0.74
10,0.5,10000,10,15,0.3,0.1,100,3,0,100,0,0,0,0,0,0,0.1,0.26,0.39,0.74
10,0.5,10000,10,15,0.4,0.1,100,3,0,100,0,0,0,0,0,0,0.1,0.26,0.39,0.74
10,0.5,10000,10,15,0.5,0.1,100,3,0,100,0,0,0,0,0,0,0.1,0.26,0.39,0.74
10,0.5,10000,10,15,0.6,0.1,100,3,0,100,0,0,0,0,0,0,0.1,0.26,0.39,0.74
10,0.5,10000,10,15,0.7,0.1,100,3,0,100,0,0,0,0,0,0,0.1,0.26,0.39,0.74
10,0.5,10000,10,15,0.8,0.1,100,3,0,100,0,0,0,0,0,0,0.1,0.26,0.39,0.74
10,0.5,10000,10,15,0.9,0.1,100,3,0,100,0,0,0,0,0,0,0.1,0.26,0.39,0.74
10,0.5,10000,10,15,0.1,0.1,100,3,0,10,0,0,0,0,0,0,0.2,0.4,0.5,1
10,0.5,10000,10,15,1,0.1,100,3,0,100,0,0,0,0,0,0,0.1,0.26,0.39,0.74
10,0.5,10000,10,15,0.2,0.1,100,3,0,10,0,0,0,0,0,0,0.3,0.5,0.6,1
10,0.5,10000,10,15,0.3,0.1,100,3,0,10,0,0,0,0,0,0,0.3,0.5,0.6,1
10,0.5,10000,10,15,0.4,0.1,100,3,0,10,0,0,0,0,0,0,0.3,0.5,0.7,1
10,0.5,10000,10,15,0.5,0.1,100,3,0,10,0,0,0,0,0,0,0.3,0.5,0.7,1
10,0.5,10000,10,15,0.6,0.1,100,3,0,10,0,0,0,0,0,0,0.3,0.5,0.7,1
10,0.5,10000,10,15,0.7,0.1,100,3,0,10,0,0,0,0,0,0,0.3,0.5,0.7,1
10,0.5,10000,10,15,0.8,0.1,100,3,0,10,0,0,0,0,0,0,0.3,0.5,0.7,1
10,0.5,10000,10,15,0.9,0.1,100,3,0,10,0,0,0,0,0,0,0.3,0.5,0.7,1
10,0.5,10000,10,15,1,0.1,100,3,0,10,0,0,0,0,0,0,0.4,0.6,0.8,1
10,0.5,10000,10,15,0.1,0.1,100,3,1,100,0,0,0,0,0,0,0.04,0.15,0.18,0.3
10,0.5,10000,10,15,0.2,0.1,100,3,1,100,0,0,0,0,0,0,0.04,0.15,0.18,0.3
10,0.5,10000,10,15,0.3,0.1,100,3,1,100,0,0,0,0,0,0,0.04,0.15,0.18,0.3
10,0.5,10000,10,15,0.4,0.1,100,3,1,100,0,0,0,0,0,0,0.04,0.15,0.18,0.3
10,0.5,10000,10,15,0.5,0.1,100,3,1,100,0,0,0,0,0,0,0.04,0.15,0.18,0.3
10,0.5,10000,10,15,0.6,0.1,100,3,1,100,0,0,0,0,0,0,0.04,0.15,0.18,0.3
10,0.5,10000,10,15,0.7,0.1,100,3,1,100,0,0,0,0,0,0,0.04,0.15,0.18,0.3
10,0.5,10000,10,15,0.8,0.1,100,3,1,100,0,0,0,0,0,0,0.04,0.15,0.18,0.3
10,0.5,10000,10,15,0.9,0.1,100,3,1,100,0,0,0,0,0,0,0.04,0.15,0.18,0.3
10,0.5,10000,10,15,1,0.1,100,3,1,100,0,0,0,0,0,0,0.04,0.15,0.18,0.3
10,0.5,10000,10,15,0.1,0.1,100,3,2,100,0,0,0,0,0,0,0.08,0.3,0.36,0.6
10,0.5,10000,10,15,0.2,0.1,100,3,2,100,0,0,0,0,0,0,0.08,0.3,0.36,0.6
10,0.5,10000,10,15,0.3,0.1,100,3,2,100,0,0,0,0,0,0,0.08,0.3,0.36,0.6
10,0.5,10000,10,15,0.4,0.1,100,3,2,100,0,0,0,0,0,0,0.08,0.3,0.36,0.6
10,0.5,10000,10,15,0.5,0.1,100,3,2,100,0,0,0,0,0,0,0.08,0.3,0.36,0.6
10,0.5,10000,10,15,0.6,0.1,100,3,2,100,0,0,0,0,0,0,0.08,0.3,0.36,0.6
10,0.5,10000,10,15,0.7,0.1,100,3,2,100,0,0,0,0,0,0,0.08,0.3,0.36,0.6
10,0.5,10000,10,15,0.8,0.1,100,3,2,100,0,0,0,0,0,0,0.08,0.3,0.36,0.6
10,0.5,10000,10,15,0.9,0.1,100,3,2,100,0,0,0,0,0,0,0.08,0.3,0.36,0.6
10,0.5,10000,10,15,1,0.1,100,3,2,100,0,0,0,0,0,0,0.08,0.3,0.36,0.6
10,0.5,10000,10,15,0.1,0.1,100,3,3,100,0,0,0,0,0,0,0.12,0.45,0.54,0.9
10,0.5,10000,10,15,0.2,0.1,100,3,3,100,0,0,0,0,0,0,0.12,0.45,0.54,0.9
10,0.5,10000,10,15,0.3,0.1,100,3,3,100,0,0,0,0,0,0,0.12,0.45,0.54,0.9
10,0.5,10000,10,15,0.4,0.1,100,3,3,100,0,0,0,0,0,0,0.12,0.45,0.54,0.9
10,0.5,10000,10,15,0.5,0.1,100,3,3,100,0,0,0,0,0,0,0.12,0.45,0.54,0.9
10,0.5,10000,10,15,0.6,0.1,100,3,3,100,0,0,0,0,0,0,0.12,0.45,0.54,0.9
10,0.5,10000,10,15,0.7,0.1,100,3,3,100,0,0,0,0,0,0,0.12,0.45,0.54,0.9
10,0.5,10000,10,15,0.8,0.1,100,3,3,100,0,0,0,0,0,0,0.12,0.45,0.54,0.9
10,0.5,10000,10,15,0.9,0.1,100,3,3,100,0,0,0,0,0,0,0.12,0.45,0.54,0.9
10,0.5,10000,10,15,1,0.1,100,3,3,100,0,0,0,0,0,0,0.12,0.45,0.54,0.9
10,0.5,10000,10,15,0.1,0.1,100,3,1,10,0,0,0,0,0,0,0.2,0.3,0.5,1
10,0.5,10000,10,15,0.2,0.1,100,3,1,10,0,0,0,0,0,0,0.2,0.3,0.5,1
10,0.5,10000,10,15,0.3,0.1,100,3,1,10,0,0,0,0,0,0,0.2,0.3,0.5,1
10,0.5,10000,10,15,0.4,0.1,100,3,1,10,0,0,0,0,0,0,0.2,0.3,0.5,1
10,0.5,10000,10,15,0.5,0.1,100,3,1,10,0,0,0,0,0,0,0.3,0.4,0.6,1
10,0.5,10000,10,15,0.6,0.1,100,3,1,10,0,0,0,0,0,0,0.3,0.4,0.6,1
10,0.5,10000,10,15,0.7,0.1,100,3,1,10,0,0,0,0,0,0,0.3,0.4,0.6,1
10,0.5,10000,10,15,0.8,0.1,100,3,1,10,0,0,0,0,0,0,0.3,0.4,0.6,1
10,0.5,10000,10,15,0.9,0.1,100,3,1,10,0,0,0,0,0,0,0.3,0.4,0.6,1
10,0.5,10000,10,15,1,0.1,100,3,1,10,0,0,0,0,0,0,0.4,0.5,0.7,1
10,0.5,10000,10,15,0.1,0.1,100,3,2,10,0,0,0,0,0,0,0.4,0.5,0.7,1
10,0.5,10000,10,15,0.2,0.1,100,3,2,10,0,0,0,0,0,0,0.5,0.6,0.8,1
10,0.5,10000,10,15,0.3,0.1,100,3,2,10,0,0,0,0,0,0,0.5,0.6,0.8,1
10,0.5,10000,10,15,0.4,0.1,100,3,2,10,0,0,0,0,0,0,0.5,0.6,0.8,1
10,0.5,10000,10,15,0.5,0.1,100,3,2,10,0,0,0,0,0,0,0.5,0.6,0.8,1
10,0.5,10000,10,15,0.6,0.1,100,3,2,10,0,0,0,0,0,0,0.5,0.6,0.8,1
10,0.5,10000,10,15,0.7,0.1,100,3,2,10,0,0,0,0,0,0,0.5,0.6,0.8,1
10,0.5,10000,10,15,0.8,0.1,100,3,2,10,0,0,0,0,0,0,0.5,0.6,0.8,1
10,0.5,10000,10,15,0.9,0.1,100,3,2,10,0,0,0,0,0,0,0.5,0.6,0.8,1
10,0.5,10000,10,15,1,0.1,100,3,2,10,0,0,0,0,0,0,0.5,0.7,0.9,1
10,0.5,10000,10,15,0.1,0.1,100,3,3,10,0,0,0,0,0,0,0.3,0.5,0.7,1
